CON,RA,DEC
ORI,4.843611,8.9000
ORI,4.830833,6.9500
ORI,4.853611,5.6000
ORI,4.904167,2.4500
ORI,4.975833,1.7167
ORI,5.418889,6.3500
ORI,5.533611,-0.3000
ORI,5.408056,-2.3833
ORI,5.293333,-6.8500
ORI,5.242222,-8.2000
ORI,5.796111,-9.6667
ORI,5.679444,-1.9500
ORI,5.919444,7.4000
ORI,5.585556,9.9333
ORI,5.418889,6.3500
ORI,,
ORI,5.679444,-1.9500
ORI,5.603333,-1.2000
ORI,5.533611,-0.3000
ORI,,
ORI,5.919444,7.4000
ORI,6.039722,9.6500
ORI,6.126389,14.7667
ORI,5.906389,20.2667
ORI,,
ORI,6.039722,9.6500
ORI,6.198889,14.2167
ORI,6.065278,20.1333
ORI,,
GEM,7.576667,31.8833
GEM,7.485278,31.7833
GEM,7.185833,30.2500
GEM,6.732222,25.1333
GEM,6.382778,22.5167
GEM,6.247778,22.5000
GEM,,
GEM,6.732222,25.1333
GEM,6.482778,20.2167
GEM,,
GEM,7.740833,24.4000
GEM,7.598889,26.9000
GEM,7.428889,27.8000
GEM,7.185833,30.2500
GEM,6.879722,33.9667
GEM,,
GEM,7.755278,28.0167
GEM,7.598889,26.9000
GEM,7.335278,21.9833
GEM,7.068611,20.5667
GEM,6.628611,16.4000
GEM,,
GEM,7.335278,21.9833
GEM,7.301667,16.5333
GEM,6.755000,12.9000
GEM,,
CNC,8.778333,28.7667
CNC,8.721389,21.4667
CNC,8.744722,18.1500
CNC,8.275278,9.2000
CNC,8.084444,13.1167
CNC,8.721389,21.4667
CNC,,
CNC,8.744722,18.1500
CNC,8.974722,11.8667
CNC,,
CMI,7.655000,5.2333
CMI,7.452500,8.2833
CMI,,
CMA,6.935833,-17.0500
CMA,6.903333,-12.0500
CMA,7.062500,-15.6333
CMA,6.935833,-17.0500
CMA,6.752500,-16.7167
CMA,6.631667,-18.2333
CMA,6.611389,-19.2500
CMA,6.378333,-17.9500
CMA,,
CMA,6.752500,-16.7167
CMA,7.050556,-23.8333
CMA,7.140000,-26.4000
CMA,6.977222,-28.9667
CMA,6.902222,-24.2000
CMA,6.611389,-19.2500
CMA,6.530833,-23.4167
CMA,,
CMA,7.140000,-26.4000
CMA,7.246667,-26.7667
CMA,7.401389,-29.3000
CMA,,
CMA,6.977222,-28.9667
CMA,6.338333,-30.0667
CMA,,
CMA,6.977222,-28.9667
CMA,6.830556,-32.5167
CMA,,
MON,6.682778,9.8833
MON,6.548333,7.3333
MON,6.396111,4.6000
MON,6.797778,2.4000
MON,7.197500,-0.5000
MON,8.020278,-1.4000
MON,8.143333,-2.9833
MON,,
MON,6.548333,7.3333
MON,6.797778,2.4000
MON,,
MON,8.020278,-1.4000
MON,7.687500,-9.5500
MON,,
MON,7.197500,-0.5000
MON,6.480278,-7.0333
MON,6.247778,-6.2833
MON,,
LEP,5.215556,-16.2000
LEP,5.545556,-17.8333
LEP,5.782500,-14.8333
LEP,5.940000,-14.1667
LEP,6.102778,-14.9500
LEP,5.855278,-20.8667
LEP,5.741111,-22.4500
LEP,5.470833,-20.7500
LEP,5.545556,-17.8333
LEP,,
LEP,5.470833,-20.7500
LEP,5.091111,-22.3667
LEP,5.215556,-16.2000
LEP,,
LEP,5.215556,-16.2000
LEP,5.326111,-13.1833
LEP,,
LEP,5.215556,-16.2000
LEP,5.220556,-12.9500
LEP,,
SEX,10.132222,-0.37
SEX,10.505000,-0.63
SEX,9.875000,-8.10
SEX,10.132222,-0.37
SEX,,
PYX,8.668333,-35.3000
PYX,8.726389,-33.2000
PYX,8.842222,-27.7000
PYX,,
TRI,1.884722,29.5833
TRI,2.158889,34.9833
TRI,2.288611,33.8500
TRI,1.884722,29.5833
TRI,,
ARI,1.891944,19.2833
ARI,1.910833,20.8000
ARI,2.119444,23.4500
ARI,2.833056,27.2667
ARI,,
LEO,11.817778,14.5667
LEO,11.235000,20.5167
LEO,11.038889,20.1833
LEO,10.333056,19.8500
LEO,10.278333,23.4167
LEO,9.879444,26.0167
LEO,9.410833,26.1833
LEO,9.528611,22.9833
LEO,9.764167,23.7667
LEO,10.122222,16.7667
LEO,11.237500,15.4333
LEO,11.235000,20.5167
LEO,,
LEO,9.764167,23.7667
LEO,9.879444,26.0167
LEO,,
LEO,9.685833,9.9000
LEO,10.122222,16.7667
LEO,10.139444,11.9667
LEO,10.131667,10.0000
LEO,,
LEO,10.546944,9.3000
LEO,11.237500,15.4333
LEO,11.398889,10.5333
LEO,11.352222,6.0333
LEO,,
LMI,10.464722,36.7000
LMI,10.888333,34.2167
LMI,10.123889,35.2500
LMI,10.464722,36.7000
LMI,,
LYN,9.350833,34.4000
LYN,9.313889,36.8167
LYN,8.380556,43.2000
LYN,7.445278,49.2167
LYN,6.954444,58.4167
LYN,6.326944,59.0167
LYN,,
VIR,11.764167,6.5167
VIR,11.845000,1.7667
VIR,12.331667,-0.6667
VIR,12.694444,-1.4500
VIR,12.926667,3.3833
VIR,13.036389,10.9667
VIR,,
VIR,12.694444,-1.4500
VIR,13.165833,-5.5333
VIR,13.419722,-11.1500
VIR,14.266944,-6.0000
VIR,14.717500,-5.6500
VIR,,
VIR,13.165833,-5.5333
VIR,13.578333,-0.6000
VIR,14.027222,1.5500
VIR,14.770833,1.9000
VIR,,
VEL,10.779444,-49.4333
VEL,9.511667,-40.4667
VEL,9.133333,-43.4333
VEL,8.158889,-47.3500
VEL,8.745278,-54.7167
VEL,9.368611,-55.0167
VEL,9.947778,-54.5833
VEL,10.779444,-49.4333
VEL,,
CEN,14.660000,-60.8333
CEN,14.063889,-60.3667
CEN,13.664722,-53.4667
CEN,13.925556,-47.3000
CEN,13.978056,-44.8000
CEN,13.826944,-42.4833
CEN,13.825000,-41.6833
CEN,14.111389,-36.3833
CEN,,
CEN,14.985833,-42.1000
CEN,14.591667,-42.1500
CEN,13.826944,-42.4833
CEN,13.343056,-36.7167
CEN,,
CEN,13.925556,-47.3000
CEN,12.691944,-48.9667
CEN,12.467500,-50.2333
CEN,12.139167,-50.7167
CEN,11.350278,-54.5000
CEN,11.596389,-63.0167
CEN,,
CRT,11.611389,-9.8000
CRT,11.410278,-10.8667
CRT,11.322222,-14.7667
CRT,10.996111,-18.3000
CRT,11.194167,-22.8333
CRT,11.414722,-17.6833
CRT,11.746111,-18.3500
CRT,11.933611,-17.1500
CRT,,
CRT,11.414722,-17.6833
CRT,11.322222,-14.7667
ANT,,
ANT,10.945278,-37.1333
ANT,10.452778,-31.0833
ANT,9.736667,-27.7667
ANT,9.487500,-35.9500
ANT,10.452778,-31.0833
ANT,,
HYA,14.106389,-26.6833
HYA,13.315278,-23.1833
HYA,11.881667,-33.9000
HYA,11.550000,-31.8500
HYA,10.826944,-16.1833
HYA,10.434722,-16.8500
HYA,10.176389,-12.3667
HYA,9.858056,-14.8500
HYA,9.459722,-8.6667
HYA,9.664167,-1.1333
HYA,9.239444,2.3167
HYA,8.923333,5.9500
HYA,8.779722,6.4167
HYA,8.627778,5.7000
HYA,8.646111,3.3500
HYA,8.720556,3.3833
HYA,8.923333,5.9500
HYA,,
PUP,8.125833,-24.3000
PUP,7.821389,-24.8667
PUP,8.059722,-40.0000
PUP,7.285833,-37.1000
PUP,7.487222,-43.3000
PUP,8.059722,-40.0000
PUP,,
PUP,7.487222,-43.3000
PUP,7.226678,-44.6500
PUP,6.629444,-43.1833
PUP,6.832222,-50.6167
PUP,7.226678,-44.6500
PUP,,
COL,6.368611,-33.4333
COL,5.959167,-35.2833
COL,5.849444,-35.7667
COL,5.660833,-34.0833
COL,5.520278,-35.4833
COL,,
COL,5.849444,-35.7667
COL,5.985833,-42.8167
COL,,
CAR,6.399167,-52.6833
CAR,7.946389,-52.9833
CAR,8.375278,-59.5000
CAR,9.285000,-59.2667
CAR,10.284716,-61.3167
CAR,10.533740,-61.6833
CAR,10.715833,-64.3833
CAR,10.229167,-70.0333
CAR,9.220000,-69.7167
CAR,9.785000,-65.0667
CAR,9.754167,-62.5167
CAR,9.285000,-59.2667
CAR,,
CAS,1.906667,63.6833
CAS,1.430278,60.2333
CAS,0.945000,60.7167
CAS,0.675278,56.5333
CAS,,
CAS,0.945000,60.7167
CAS,0.550000,62.9333
CAS,0.152778,59.1500
CAS,,
PIC,6.803333,-61.9333
PIC,5.830556,-56.1500
PIC,5.788056,-51.0667
PIC,6.171667,-54.9667
PIC,6.803333,-61.9333
PIC,,
DOR,4.266944,-51.4833
DOR,4.566667,-55.0500
DOR,5.091944,-57.4833
DOR,5.560278,-62.4833
DOR,5.746389,-65.7333
DOR,,
AND,0.139722,29.0833
AND,0.655556,30.8667
AND,1.162222,35.6167
AND,0.945833,38.5000
AND,0.830278,41.0833
AND,1.158333,47.2500
AND,1.633056,48.6167
AND,,
AND,0.614722,33.7167
AND,1.162222,35.6167
AND,1.613333,41.4000
AND,2.064722,42.3333
AND,,
AND,0.953611,23.4167
AND,0.788889,24.2667
AND,0.642500,29.3167
AND,0.655556,30.8667
AND,0.614722,33.7167
AND,0.305556,36.7833
AND,0.285000,38.6833
AND,23.635556,43.2667
AND,,
AND,23.031944,42.3167
AND,23.635556,43.2667
AND,23.673611,44.3333
AND,23.626111,46.4667
AND,,
TAU,3.413611,9.0333
TAU,3.452778,9.7333
TAU,4.011111,12.4833
TAU,4.330000,15.6167
TAU,4.477778,15.8667
TAU,4.598611,16.5000
TAU,5.627500,21.1500
TAU,,
TAU,5.438056,28.6000
TAU,4.476944,19.1833
TAU,4.382222,17.5333
TAU,4.330000,15.6167
TAU,,
TAU,4.476944,19.1833
TAU,3.791389,24.1167
TAU,,
AUR,5.992222,54.2833
AUR,5.992222,44.9500
AUR,5.278056,46.0000
AUR,5.992222,54.2833
AUR,,
AUR,5.278056,46.0000
AUR,5.032778,43.8333
AUR,5.041389,41.0833
AUR,4.950000,33.1500
AUR,5.438056,28.6000
AUR,5.995278,37.2000
AUR,5.992222,44.9500
AUR,,
HOR,4.233333,-42.2833
HOR,2.709167,-50.8000
HOR,2.623333,-52.5500
HOR,2.677778,-54.5500
HOR,,
CAE,5.073611,-35.4833
CAE,4.700833,-37.1333
CAE,4.675833,-41.8667
CAE,4.513889,-44.9500
CAE,,
SCL,0.976667,-29.3667
SCL,23.815278,-28.1333
SCL,23.313889,-32.5333
SCL,23.549722,-37.8167
SCL,0.465278,-33.0167
SCL,0.976667,-29.3667
SCL,,
CET,2.658056,0.3333
CET,2.322500,-2.9833
CET,1.857500,-10.3333
CET,1.400278,-8.1833
CET,0.323889,-8.8333
CET,0.726389,-17.9833
CET,2.000278,-21.0833
CET,2.658056,0.3333
CET,2.721667,3.2333
CET,3.038056,4.1000
CET,2.995278,8.9167
CET,2.748889,10.1167
CET,2.469167,8.4667
CET,2.721667,3.2333
CET,,
CET,0.726389,-17.9833
CET,1.734444,-15.9333
CET,,
FOR,3.201111,-28.9833
FOR,2.818056,-32.4167
FOR,2.075000,-29.3000
FOR,,
PHE,0.438056,-42.3000
PHE,0.436667,-43.6833
PHE,1.101389,-46.7167
PHE,1.472500,-43.3167
PHE,1.520833,-49.0833
PHE,1.101389,-46.7167
PHE,,
PHE,0.436667,-43.6833
PHE,1.139722,-55.2500
PHE,0.722500,-57.4667
PHE,,
PHE,0.436667,-43.6833
PHE,0.156667,-45.7500
PHE,23.584722,-42.6167
PHE,23.787778,-50.2333
PHE,0.156667,-45.7500
PHE,,
CAM,4.954722,53.7667
CAM,5.056944,60.4500
CAM,4.900833,66.3333
CAM,3.839444,71.3167
CAM,,
CAM,4.900833,66.3333
CAM,6.314103,69.3167
CAM,7.001121,76.9667
CAM,,
ERI,1.628333,-57.2500
ERI,1.932500,-51.6000
ERI,2.275000,-51.5167
ERI,2.449722,-47.7000
ERI,2.677778,-39.8500
ERI,2.970833,-40.3000
ERI,4.298333,-33.8000
ERI,4.400556,-34.0167
ERI,4.592500,-30.5667
ERI,4.558333,-29.7667
ERI,3.998889,-24.0167
ERI,3.895000,-24.6000
ERI,3.780833,-23.2500
ERI,3.563056,-21.6333
ERI,3.325278,-21.7500
ERI,3.040000,-23.6167
ERI,2.850556,-21.0000
ERI,2.751667,-18.5833
ERI,2.940278,-8.9000
ERI,3.263889,-8.8167
ERI,3.548889,-9.4667
ERI,3.720556,-9.7667
ERI,3.769167,-12.1000
ERI,3.967222,-13.5167
ERI,4.197778,-6.8333
ERI,4.605278,-3.3500
ERI,4.758333,-3.2500
ERI,5.130833,-5.0833
ERI,,
PEG,0.139722,29.0833
PEG,23.063056,28.0833
PEG,22.716667,30.2167
PEG,22.166667,33.1667
PEG,,
PEG,0.139722,29.0833
PEG,0.220556,15.1833
PEG,23.079444,15.2000
PEG,23.063056,28.0833
PEG,22.833611,24.6000
PEG,22.775556,23.5667
PEG,22.116667,25.3333
PEG,21.744167,25.6500
PEG,,
PEG,23.079444,15.2000
PEG,22.690833,10.8333
PEG,22.170000,6.2000
PEG,21.736389,9.8833
PEG,,
PER,2.845000,55.9000
PER,2.904444,52.7667
PER,3.080000,53.5000
PER,,
PER,2.904444,52.7667
PER,3.151111,49.6167
PER,3.405556,49.8500
PER,,
PER,2.845000,55.9000
PER,3.080000,53.5000
PER,3.405556,49.8500
PER,3.509444,48.0000
PER,3.753333,42.5833
PER,3.964167,40.0000
PER,3.982500,35.7833
PER,3.902222,31.8833
PER,3.738611,32.2833
PER,,
PER,3.405556,49.8500
PER,3.608333,48.2000
PER,3.715278,47.7833
PER,4.144444,47.7167
PER,4.248333,48.4000
PER,4.109722,50.3500
PER,,
PER,3.151111,49.6167
PER,3.158333,44.8667
PER,3.136389,40.9500
PER,3.964167,40.0000
PER,,
PER,3.136389,40.9500
PER,3.086389,38.8333
PER,2.843056,38.3167
PER,,
PER,3.151111,49.6167
PER,2.736667,49.2167
PER,1.727500,50.6833
PER,,
PSC,1.229167,24.5833
PSC,1.194444,30.1000
PSC,1.324444,27.2667
PSC,1.229167,24.5833
PSC,1.524722,15.3500
PSC,1.756667,9.1500
PSC,2.033889,2.7667
PSC,1.892778,3.2000
PSC,1.690556,5.4833
PSC,1.048889,7.8833
PSC,0.811389,7.5833
PSC,23.988611,6.8667
PSC,23.665833,5.6333
PSC,23.466111,6.3833
PSC,23.286111,3.2833
PSC,23.448889,1.2500
PSC,23.700833,1.7833
PSC,23.665833,5.6333
PSC,,
PSC,23.286111,3.2833
PSC,23.064444,3.8167
PSC,,
UMA,13.792222,49.3167
UMA,13.398889,54.9333
UMA,12.900556,55.9500
UMA,12.257222,57.0333
UMA,11.062222,61.7500
UMA,9.525556,63.0667
UMA,8.504444,60.7167
UMA,8.986944,48.0333
